Se alguém lhe apresentar mais de um motivo pelo qual deseja o emprego, não o contrate.	Um motivo robusto tem apenas 1 item. Acima disso indica que os motivos não são tão verdadeiros.	A cama de Procusto	Taleb, Nassim Nicholas
Women lie when they wear makeup to look younger than they are. Men lie when they say they’re looking for marriage and commitment in order to get a date. Women lie when they get implants or fillers to create curves they don’t have. Men lie when they splurge on designer clothes and extravagant gifts they can’t afford. Women lie when they play hard to get with men they like. Men lie when they pretend to care about women they don’t even know. Women lie when they say they would “never do that on a first date.” Men lie when they say they’re “not talking to anyone else.”	Todos mentem, homens mentem para ter relações, mulheres mentem para parecer mais bonitas que são.	The Value of Others	Orion Taraban
In any case, it’s not only a mistake to conflate pSMV with nSMV but also to assume your pSMV in the minds of others. Ultimately, since attraction is based on perception, if you believe that someone is “out of your league,” you’re right.	Não importa que nível você esteja, importa que nível você ACHA que está, pois o jogo do amor é sobre percepção.	The Value of Others	Orion Taraban
"Value is only created at the point of transaction. Until a transaction is executed, value remains entirely hypothetical: it becomes actual when the goods change hands. And once it does so, value becomes anchored at that price point. So an athlete who signs a $300 million contract is worth $300 million. If the same person could have signed a $500 million contract, he would have been worth $500 million; if only a $10 million contract, then only $10 million."	O valor só é gerado com a transação. Até lá, é apenas especulação. Um atleta com contrato de $300 MI vale $300 MI.	The Value of Others	Orion Taraban
It also goes a long way toward explaining why men generally seek sex from women and women generally seek commitment from men: each is hoping to secure the scarcer (and therefore, relatively more valuable) good from the other.	Homens além de conseguirem estabilidade emocional e econômica por eles próprios, a oferta de mulheres procurando comprometimento é grande, portanto não há escassez   Mulheres por si só não geram estabilidade emocional e econômica, além disso, é mais raro a oferta de homens querendo se comprometer, por isso a escassez.	The Value of Others	Orion Taraban
So the sexual double standard is culturally determined but not in the way that most people think. That is, it’s not simply a superficial attitude – like a belief – that can be altered with education and awareness. Rather, it’s deeply embedded in culturally normative rules that govern who approaches whom and who is valued for what – and these rules probably aren’t changing anytime soon. The sexual double standard will privilege men as long as women are perceived to be more valuable in the sexual marketplace. Until the day arrives when it is as easy for the average man to find a willing sexual partner as it is for the average woman to do the same, the sexual double standard will exist. A key that can open any lock will remain a good key, and a lock that any key can open will remain a bad lock.	O homem se valorizar ao conseguir uma mulher vem pelo simples fato da mulher ser o sexo mais valorizado na relação, pois o sexo é escasso para o homem. Se a mesma facilidade da mulher conseguir um parceiro fosse transferida para o homem conseguir uma parceira, não existiria essa disparidade de valores a favor do homem.	The Value of Others	Orion Taraban
Marketplaces are fascinating. One fundamental feature of a marketplace is that it incentivizes the production of value. And this value is generally produced by transmuting self-interest into prosocial behavior. In a marketplace, actors typically learn that the best way to get their needs and desires met is to fulfill the needs and desires of others. As a consequence, most people spend a significant amount of their lives serving others as an indirect (but reliable) means of serving themselves. Self-interest is the primary driver of mutuality.	O melhor jeito de satisfazer suas necessidades é satisfazendo as necessidades de outrem. (gerando valor)	The Value of Others	Orion Taraban
In this way, actors learn to indirectly get their wants and needs met by satisfying the wants and needs of others. Self-interest is transmuted into prosocial behavior.	No mercado relacional, o melhor jeito de conseguir o que quer é satisfazer as necessidades dos outros. É uma troca.	The Value of Others	Orion Taraban
With respect to initiating a sexual relationship, men notoriously have much lower standards than women do, and fewer barriers to entry. This is partly because, in any given month, men produce billions of sperm, capable of impregnating many, many women. From an evolutionary perspective, they are incentivized to secure as many non-terrible options as possible, as this will increase the likelihood that at least some of their offspring will survive to sexual maturity.	Homens tem um padrão abaixo da mulher no mercado relacional, pois foram incentivados, de uma perspectiva evolucionista, a tentarem manter a maior quantidade de opções de reprodução possível.	The Value of Others	Orion Taraban
Second, the unfavorable position of the wanter gives rise to the most abiding strategy in the Game of Please/No: deception. If wanters are disadvantaged to the extent that givers accurately recognize the degree of their interest – or even the object of their interest – then wanters are incentivized to keep givers in the dark about their true desires for as long as possible.	No jogo de Please/No, o “wanter” perde força no jogo se o “giver” perceber o nível de interesse, por isso são incentivados a esconder suas reais intenções pelo maior tempo possível.	The Value of Others	Orion Taraban
Regardless, deception is an extremely common interpersonal strategy. For example, one of the most common forms of deception is reversal: feigning disinterest (or disappointment) in something of great value to the wanter or pretending interest (or enjoyment) in something of little value to the same.	A estratégia de não demonstrar interesse mantém seu valor no mercado	The Value of Others	Orion Taraban
Third, the economic asymmetry between wanting and giving provides the rationale for one of the Game’s most effective interpersonal tactics, namely: getting the other person to be the wanter.	A tática relacional mais efetiva é mover a mulher ao lado de menor poder	The Value of Others	Orion Taraban
The upshot is that if players can succeed, despite their own desires, in provoking the other player into initiating the negotiation, they can typically secure a much more favorable bargaining posture for themselves. Successful application of this tactic requires, on the one hand, some measure of discipline and self-sufficiency (in order to abide in their own discomfort of wanting), and on the other hand, some degree of marketing acumen (in order to stimulate the discomfort of the other player’s wanting). After all, no one can want something from you if they don’t yet know you have it.	Igual nos negócios, se o homem conseguir fazer com que a mulher inicie a negociação, geralmente estará em postura de vantagem na transação. Isso requer habilidades de autodisciplina, autossuficiência e marketing, pois ninguém irá querer algo de você se não sabem que você possui esse algo.	The Value of Others	Orion Taraban
To put it another way: women are better at getting what they want from men than men are at getting what they want from women.	Mulheres são melhores em conseguir o que querem dos homens que o contrário.	The Value of Others	Orion Taraban
This is why master players of any game need to play thousands and thousands of times with as many different partners as possible: they need to train their capacities to recognize patterns on robust data sets in order to minimize the potential for bias and error inherent in small sample sizes.	Igual jogar xadrez, é necessário testar todas as possibilidades de jogo possíveis	The Value of Others	Orion Taraban
In the Game of Please/No, nearly every effective strategy in the wanter’s playbook depends on its capacity to stimulate a specific emotion in a particular giver. And it’s this stimulated emotion that serves as the basis of the proposed barter: a “yes” is transacted for an emotion.	O “sim” do outro lado vem na troca de uma emoção que a fez querer sentir.	The Value of Others	Orion Taraban
The ferryboat captain never gets to stop being the ferryboat captain. Ever. That wasn’t the arrangement you both negotiated down at the docks, and violation of that arrangement functionally terminates the relationship.	Os papeis de cada um dentro de um relacionamento são formados na hora do contrato. Se durante o caminho os papéis se invertem, naturalmente é o fim da relação. (a passageira tentar virar capitã da própria embarcação)	The Value of Others	Orion Taraban
It may sound strange, but (strictly speaking) power is not wealth or status or physical strength. It may look like it is from the outside, but in reality, it is none of these things. If it were, how could we possibly account for the seemingly endless number of celebrities, moguls, and politicians who have been bested throughout history by those who were weaker, poorer, and more lowly? Those who instigate the fall of such individuals must be the more powerful players. Otherwise, we would be forced to concede that weakness is really strength, poverty is really riches, and abasement is really exaltation.	Poder não é riqueza, ou status ou força física.	The Value of Others	Orion Taraban
The upshot is that if things like money, status, and physical strength only motivate others to act to the extent that they succeed in exciting certain psychological states, and if it’s possible to excite these states without things like money, status, and strength, then we have to conclude that people do not need to be rich, prestigious, or strong in order to be powerful. These things are power proxies: they stand in for power in the popular imagination but are not power themselves.	Dinheiro, status e força física são apenas “fachadas” de poder, para o imaginário da população, mas não são poder. Essas características compelem as pessoas a fazerem coisas, mas se é possível fazer com que façam algo sem essas características, elas não carregam o poder em si.	The Value of Others	Orion Taraban
The easiest way to approach this idea is to imagine a German shepherd cowering before a Chihuahua. Maybe you’ve even witnessed such an encounter yourself. In that moment, the shepherd has forgotten its size and strength – forgotten that it could literally bite the smaller dog in half – and the Chihuahua has forgotten its size and strength – forgotten its relative physical vulnerability – and the scene plays out as described. This is because the Game is not enacted in material reality but in psychological reality. For whatever reason, that Chihuahua was able to convince that shepherd that it was something to be feared, something to be reckoned with. It was true in the shepherd’s mind, so the shepherd perceived it to be true in reality (and responded accordingly). And if the situation were reversed, with the little Chihuahua cringing before the big shepherd, the mechanism of action would have been exactly the same. In this case, at least, size doesn’t matter. The dog that is intimidated is not the dog that is smaller: it’s the dog that becomes afraid.	O jogo é mental. Não importa seu poder real, o que importa é a percepção do seu poder.   Shitzu contra uma vaca	The Value of Others	Orion Taraban
first principle is that the more powerful person is the one who moves less. Since this is overtly apparent, this is one of the easiest signs to identify. Consider a kingdom. In the center of a castle, the king sits unmoving on his throne, while the entire court revolves around him.	O mais poderoso é quem se movimenta menos. Considere um reino, o castelo reside no centro e as pessoas vão até o trono.	The Value of Others	Orion Taraban
In the game of mating and dating, this relative lack of motion can assume many forms. For instance, the more powerful players are typically the ones who initiate less, are slower to respond, and use fewer words in their communications. If you don’t believe me, just compare your emails to your boss with your boss’s emails to you on these three dimensions. It is the privilege of the powerful to take their time, dispense with formalities, or forgo responding altogether. However, the same behaviors in the less powerful would read as insubordination.	O mais poderoso numa relação é quem inicia menos conversas, demoram para responder e utilizam menos palavras.   Quem fala mais, você ou seu chefe?	The Value of Others	Orion Taraban
Another way to consider power is to observe who goes to whom. When dates are planned, for whom are the logistics more convenient? It’s assumed that the time of the more powerful is more valuable, so they are less likely to make concessions as to time and place. On the other hand, the less powerful are expected to make a greater effort to accommodate scheduling requests.	Quem vai a quem na relação? O tempo do mais poderoso tem mais valor, portanto a chance de fazer concessões em seu horário é menor, enquanto o outro dedica mais esforços para acomodar seu horário.	The Value of Others	Orion Taraban
In general, men increase their optionality by being visibly competent, whereas women increase their optionality by being visibly attractive. Ideally, the optimal strategy would be to limit your partners’ optionality while retaining your own.	Homens aumentam suas chances se mostrando visivelmente competentes. (estilo de vida, riqueza, poder) Mulheres aumentam suas chances se mostrando visivelmente atraentes. (beleza física, idade)	The Value of Others	Orion Taraban
The fourth principle is that the more powerful player is the one more willing to sacrifice.	O poder nada mais é que uma compensação pelo sacrifício, que é seu preço.	The Value of Others	Orion Taraban
The fifth principle is that the more powerful player is the one more willing to transgress. This is not an endorsement of transgressive acts: it’s just a fact of reality. Most people are not only bound by the laws of their society, but they are bound (even more rigidly) by social convention and their internal programming, as well.	O mais poderoso é o mais provável de transgredir regras sociais, geralmente convencionadas pela sociedade.	The Value of Others	Orion Taraban
One of the many reasons why those who are more willing to transgress are more powerful is that these people are typically better competitors. Imagine trying to win at the highest echelons of any sport without ever committing a foul. It wouldn’t be possible, as you would be handicapping yourself in a way that none of your competitors were. The amount of additional skill needed to overcome that restriction would be insurmountable at the highest levels of play (where margins of success become increasingly narrow).	Já imaginou um grande campeão que teme cometer faltas em um jogo?	The Value of Others	Orion Taraban
Again, without condoning transgression, it’s important to understand that fouling is part of the game. All games forbid certain behaviors in order to define the scope of play, and they establish clear and explicit penalties for enacting those behaviors. Otherwise, you don’t have a game – you have chaos. And given the risks involved, we should expect to find the most masterful play occurring on the border between the allowed and the prohibited – which is precisely what occurs.	Todo grande player joga sempre no limiar entre o correto e o errado	The Value of Others	Orion Taraban
The sixth principle is that the more powerful player is the one more tolerant of emotion. As previously discussed, most of the core strategies utilized in the Game of Please/No are emotional manipulation techniques, and emotional manipulation can only occur if those being manipulated are complicit in its success.	O mais poderoso é quem tem maior tolerância a emoções	The Value of Others	Orion Taraban
The seventh principle is that the more powerful player is the one who is less visible. This one is a little counterintuitive. Power as a function of visibility is curvilinear. In any given society, both the most powerful and the least powerful members are invisible.	O mais poderoso é o menos visível. Numa sociedade, tanto o mais poderoso quanto o menos poderoso são invisíveis. Se uma pessoa aparece muito, chama muita atenção, pode ter certeza que ela não é a mais poderosa dentro de seu contexto.	The Value of Others	Orion Taraban
The eighth principle is that the more powerful player is the one who is more flexible. Though he wasn’t the first to put the idea into words, Maslow’s maxim remains the pithiest: “If all you have is a hammer, everything looks like a nail.”	Se sua única ferramenta é um martelo, vai tentar resolver todos os problemas do mesmo jeito. Tendo mais flexibilidade na resolução de problemas, tem mais poder	The Value of Others	Orion Taraban
The ninth principle is that the more powerful player is the one who is more knowledgeable about the other. As the saying goes, “Knowledge is power.” Unfortunately, years of academic indoctrination have led most people to misconstrue the knowledge in question to refer to factual knowledge, which is functionally useless. Knowing that Vaduz is the capital of Liechtenstein, or that the Battle of Hastings occurred in 1066, or that the mitochondria are the powerhouses of the cell has never made anyone more powerful. The knowledge this phrase refers to is the knowledge of how things work, and it’s the knowledge of how people work that is most directly related to the exercise of power.	O mais poderoso em uma relação é quem tem mais conhecimento sobre o outro. Não conhecimento teórico, mas noções de como as coisas funcionam, como os desejos humanos funcionam.	The Value of Others	Orion Taraban
It’s as though a relationship is an organism onto itself, and (like all organisms) it wants to maintain homeostasis. If one partner starts to demonstrate diminished interest and desire, the other often works harder to “make up for” the decrease.	Relações buscam equilíbrio. Um lado diminui afeição, outro tenta compensar.	The Value of Others	Orion Taraban
In any case, if it’s true that people want what they want, not what wants them, then the most effective pathway to being wanted should be clear. Rather than trying to want someone into wanting them, players should focus on becoming more attractive to the person – or type of person – to whom they are attracted. The more attractive they are to these people, the more they will be desired by them: no wanting required.	Pessoas querem o que elas querem, não quem quer elas. Em vez de tentar fazer com que alguém te queira, foque em se tornar o tipo de pessoa que o outro é atraído.	The Value of Others	Orion Taraban
Women are more likely to go to relationships to feel, and they often expect the feelings they experience there to be special and unique.	Mulheres buscam relacionamentos para sentir emoções únicas e especiais.	The Value of Others	Orion Taraban
Given the fact that most men would have sex with most women, women often get to experience being desired. As a result, this experience is neither special nor unique to most women, which is part of the reason why many find men’s physical desire for them insulting. It’s the economic equivalent of being paid in pocket change: low value, high circulation. On the other hand, the experience of being with the one they desire is a much more uncommon experience for women.	Mulheres estão acostumadas a serem desejadas, portanto não sentem nada demais. O jogo muda quando elas estão com alguém que ELAS desejam, essa experiência é menos comum para elas.	The Value of Others	Orion Taraban
situation. It’s necessary to teach people how to feel about you. If men act like they’re not a catch, women will believe them – and toss them back in the water.	É necessário ensinar as pessoas como se sentirem sobre você. Tudo está no poder do pensamento.	The Value of Others	Orion Taraban
On the other hand, it should be fairly obvious why passengers are better suited for the adorer role (regardless of gender). They didn’t build the boat – they just bought a ticket. In so doing, they implicitly consented to surrender some of their rights, including (but not limited to) some degree of control over the experience. And in exchange for that concession, they are generally relieved of a great deal of the responsibility for making the ship run properly. This is fair. Passengers cannot reasonably demand a greater share of power without taking on more responsibility, and they are less likely to be competent in assuming that responsibility because they did not build the boat, learn to sail, and plot the course.	Passageiros apenas compraram a passagem, e de modo implícito abriram mão de certo controle sobre a jornada. Em troca disso, são aliviados da grande pressão que é manter o navio funcionando. Capitães detêm maior poder e responsabilidade pois criaram o navio.	The Value of Others	Orion Taraban
This dovetails into the second liability associated with power: responsibility. Responsibility is a contraction of “response ability,” that is: the ability to respond. Those who enjoy the power to dictate conditions are generally also those best able to respond to the challenges associated with maintaining those conditions. This is why power and responsibility are so closely connected: those who have the power to respond are the ones responsible. It’s also why all cultures everywhere believe that wielding power while abnegating responsibility is corrupt. If you make the call, then you must be held accountable for the consequences.	Responsabilidade significa “poder de responder”. Ou seja, se você não tem o poder de responder ou tomar decisões, você não tem responsabilidade. Aqueles que gostam do poder de ditar as condições também são geralmente os que melhor respondem aos desafios associados a essas condições, por isso responsabilidade e poder são tão conectadas.	The Value of Others	Orion Taraban
"The other important consequence of the second law of attraction is the attraction gap: the interest discrepancy between the adored and the adorer. So far, I’ve been speaking of these roles as if they were static entities. This is not the case. In fact, their relative positions are subject to constant fluctuation. At some points, the gap will be large; at other points, it will be functionally nonexistent."	A diferença de atração entre adorador e adorado varia com o tempo, nunca é fixa.	The Value of Others	Orion Taraban
"As discussed, we can imagine the sexual marketplace to be a bustling dock with crowds of passengers trying to voyage forth on ships of all sizes. A certain vessel might catch a passenger’s eye; the captain notices a face in the crowd. That’s attraction. The passenger then explores the cabin and examines the itinerary; the captain performs a security check and explains the operation of the ship. Both attempt to secure the best possible deal for themselves, and they consent to transact unequal goods of comparable value. That’s negotiation."	O mercado relacional é um porto lotado de passageiros analisando diversas embarcações, seu tamanho, seu destino, a multidão em volta, o capitão. Isso é atração. O passageiro então escolhe uma embarcação e examina o itinerário, conhece o capitão e balanceia os prós e contras. Isso é negociação.	The Value of Others	Orion Taraban
This confirms what everyone already understands about attraction: that it is not experienced as a choice. Indeed, as we’ve seen, it’s based on certain biologically determined and culturally informed factors over which the individual has little to no control.	Atração não é baseada em escolha, mas sim em fatores culturalmente embutidos e biologicamente determinados.	The Value of Others	Orion Taraban
The goal of this book is to offer a universal theory of relationships: a framework capable of explaining the widest spectrum of phenomena across as many types of relationships as possible. Its fundamental premise is that relationships are the media in which value is transacted. People come together because they want things from others, and they attempt to satisfy these wants by trading unequal things of comparable value.	Pessoas se juntam pois desejam coisas que outros proveem, e tentam satisfazer esses desejos ofertando outros itens de valor compatível.	The Value of Others	Orion Taraban
if you could buy loyalty, you wouldn’t have loyalty: you would have mercenaries. Such people support your cause as long as they’re compensated. Miss a payment, and you may end up with a knife in your back. And finally, if you could buy love, you wouldn’t have love: you would have escorts. Exchanging resources for the performance of adoration, devotion, and affection is not the basis for an enduring relationship.	Algumas coisas não se compram, como lealdade e amor. Procurar esses sentimentos dentro de “trocas” não funcionam em uma relação duradoura.	The Value of Others	Orion Taraban
The problem with the criticism that not all goods are transactable is not that it doesn’t have a point but that its point is irrelevant. It should only take a little effort to understand why. If relationships are the media in which value is transacted, and certain goods are invaluable and non-transactable, then it would follow that relationships would not be necessary to transmit these goods. This is exactly what we see when we observe human behavior: non-transactable goods fall outside the purview of relationships. So arguing that the economic model is flawed because it fails to account for goods that it has no business accounting for doesn’t make much sense.	Relações terrenas e o mercado relacional são baseados em bens estimáveis (comparáveis, equiparáveis), como sexo, estabilidade, compromisso. Bens não estimáveis como amor, amizade e confiança não entram na equação, são independentes de relacionamentos. Esse prisma eleva os sentimentos verdadeiros em relação as relações materiais.	The Value of Others	Orion Taraban
"Correctly understood, non-transactable goods and relationships are independent of each other; however, this doesn’t mean they can’t co-occur. What it means is that friendship, loyalty, and love are possible without a relationship. In fact, you could argue that this is the truest (and surest) test of these virtues."	Amizade, lealdade e amor são bens não-transacionáveis e portanto não estão dentro do “contrato de um relacionamento”. Não quer dizer que não possam coexistir, apenas que não há conexão entre eles. Essa é a maior prova de virtude, ter amizade, lealdade ou amor por outra pessoa sem precisar estar numa relação com ela, que naturalmente envolve trocas de bens transacionáveis, como dinheiro, poder, sexo.	The Value of Others	Orion Taraban
Of course, it’s also possible to have a relationship without friendship, loyalty, or love. For better or worse, this happens all the time. For instance, plenty of people are married to people they don’t love, and they love people they aren’t married to. This may even apply to your own relationship (or that of your parents). And if love can exist without a relationship, and a relationship can exist without love, then we have no choice but to conclude that the two don’t have anything to do with one another.	Amor não tem nada a ver com relacionamentos. É superficial pensar assim, pois assim o amor estaria envolvido em trocas.	The Value of Others	Orion Taraban
This is not jaded or cynical. In fact, it’s probably more cold-hearted to insist that people need relationships in order to love, given the reality that so many people lack them. Are we to maintain that these people cannot love? If anything, it is more high-minded and idealistic to argue that love can exist independently of a relationship, as it is only in this state that love can be completely divorced from the possibility of reward.	O amor pode existir independente de um relacionamento. É até mais nobre e virtuoso pensar deste jeito, pois seria o único jeito de amar sem conexão nenhuma com alguma recompensa, visto que uma relação é uma troca de valores comerciais.	The Value of Others	Orion Taraban
This isn’t technically true. It’s more accurate to say the amount of work a relationship requires is inversely proportional to the goodness of fit. It’s possible to make water flow uphill, but it takes a great deal of effort and energy to do so – effort and energy that could be more productively expended elsewhere. It’s a much better idea to take advantage of the natural tendencies of water so that its organic motion is effortlessly directed toward your goals. With this in mind, it’s essential to understand that you can’t have any relationship with anyone. You can only have certain relationships with certain people. This is a concept many people fail to adequately appreciate.	Boas relações não exigem esforço, trabalho. Você não consegue ter uma relação com qualquer uma.	The Value of Others	Orion Taraban
Instead of prioritizing sexual relationships, men are better served by devoting their young adulthood to the development of valued skills and the acquisition of desirable resources. Doing this is their best chance at increasing their wealth and elevating their status – both of which will enable them to create more emotionally compelling lifestyles that will be more attractive to more women.	Homens jovens devem por seu esforço em desenvolver habilidades que gerem valor enquanto jovens.	The Value of Others	Orion Taraban
"A atenção funciona como um músculo: pouco utilizada, ela definha; bem utilizada, ela melhora e se expande."	Como se treina atenção: tendo autoconsciência dos momentos de divagação. Traga sua atenção ao presente forçadamente.	Foco	Goleman, Daniel
O foco interno nos põe em sintonia com nossas intuições, nossos valores principais e nossas melhores decisões. O foco no outro facilita nossas ligações com as pessoas das nossas vidas. E o foco externo nos ajuda a navegar pelo mundo que nos rodeia.	1. Foco interno 2. Foco no outro 3. Foco externo	Foco	Goleman, Daniel
A atenção, do latim attendere, entrar em contato, nos conecta ao mundo, moldando e definindo a nossa experiência.	Atenção = entrar em contato. Onde estiver, foque apenas no momento presente	Foco	Goleman, Daniel
o que William James, um dos fundadores da psicologia moderna, quis dizer quando definiu a atenção como “a repentina tomada de posse pela mente, de forma clara e vívida, de um dos vários objetos ou linhas de pensamento que parecem simultaneamente possíveis”.	Repentina tomada de posse pela mente, de forma clara e vivída	Foco	Goleman, Daniel
Há dois tipos principais de distrações: sensorial e emocional. Os distratores sensoriais são simples: enquanto lê estas palavras, você está abstraindo as margens em branco ao redor deste texto. Outro exemplo: perceba por um instante a sensação da sua língua no céu da boca — este é apenas um em meio a uma interminável onda de estímulos que seu cérebro elimina do contínuo fluxo de sons, formas e cores de fundo, sabores, cheiros, sensações e assim por diante.	Existem distrações sensoriais e distrações emocionais	Foco	Goleman, Daniel
Quanto mais o nosso foco é interrompido, pior nos saímos. Por exemplo: uma pesquisa encontrou uma correlação significativa entre a tendência de atletas universitários a terem a concentração interrompida pela ansiedade e o desempenho deles na temporada seguinte.	Perigo do celular. Se durante uma tarefa você fica 3 minutos no celular, você não perdeu apenas 3 minutos, pode ter perdido uma hora inteira de concentração. FOCO É TREINÁVEL E EXIGE TREINO!   Esteja presente no momento. Trabalho? Trabalhe. Comendo? Coma.	Foco	Goleman, Daniel
Como o foco exige que abstraiamos as distrações emocionais, nossa estrutura neural para a atenção seletiva inclui a inibição da emoção. Isso significa que quem tem melhor foco é relativamente imune a turbulências emocionais, tem mais capacidade de se manter calmo durante crises e de se manter no prumo apesar das agitações emocionais da vida.	O foco, o controle emocional e a profundidade das conexões estão interligados.	Foco	Goleman, Daniel
Quanto mais poderosa é a nossa atenção seletiva, maior a nossa capacidade de nos mantermos absortos no que estamos fazendo: sermos arrebatados por uma cena de um filme ou acharmos o verso de uma poesia estimulante. Um foco poderoso permite que as pessoas se percam no YouTube ou no dever de casa a ponto de ficar indiferente a qualquer tumulto que possa estar ocorrendo por perto — ou aos pais chamando para o jantar.	O foco é a felicidade. Pois se felicidade é entender o motivo positivo de cada momento, e precisamos ter foco para absorvermos o momento, o foco é a felicidade.	Foco	Goleman, Daniel
Tamanhas desmotivação e indiferença ocorrem em demasia, principalmente entre trabalhos repetitivos e pouco exigentes. Para aproximar o trabalhador desmotivado do campo do foco, é preciso elevar sua motivação e seu entusiasmo, evocando um senso de propósito e acrescentando uma dose de pressão.	Evitar desmotivação em tarefas repetitivas: 1. Evoque senso de propósito (qual o objetivo maior que eu sendo buscado aqui?) 2. Adicione pressão (temos um prazo a vencer)	Foco	Goleman, Daniel
O foco total nos dá uma entrada para a entrega. Mas quando optamos por nos focar em uma coisa e ignorar o resto, revelamos uma tensão constante — normalmente invisível — entre uma grande divisão neural, em que a parte de cima do cérebro briga com a parte de baixo.	O foco sempre será uma briga, seu instinto quer você alerta para os perigos. Necessário controle do dispositivo de luta ou fuga por meio da respiração.	Foco	Goleman, Daniel
Karl Gauss, um matemático do século XVIII, empenhou-se para provar um teorema durante quatro anos, sem solução. No entanto, um dia, a resposta veio a ele “tão rápido quanto um clarão de luz”. Não soube descrever o fio de pensamento que ligava os anos de trabalho duro àquele lampejo.	Nosso cérebro está sempre trabalhando em soluções para nossos problemas, principalmente quando não estamos focados em uma tarefa, mas sim divagando.	Foco	Goleman, Daniel
A atenção voluntária, a força de vontade e a escolha intencional envolvem operações mentais de cima para baixo. A atenção reflexiva, o impulso e os hábitos rotineiros envolvem operações mentais de baixo para cima (assim como a atenção capturada por uma roupa estilosa ou um anúncio criativo). Quando decidimos entrar em sintonia com a beleza de um pôr do sol, nos concentrar no que estamos lendo ou conversar com alguém, entramos em uma modalidade de funcionamento descendente. O olhar da nossa mente executa uma dança contínua entre a atenção capturada por estímulos e o foco voluntariamente direcionado.	Exemplo dos dois modos de foco do ser humano e sua relação	Foco	Goleman, Daniel
Muito (alguns dizem que tudo) do que a mente descendente acredita ter escolhido focalizar, pensar e fazer são na realidade planos ditados pelos circuitos ascendentes. Se isso fosse um filme, o psicólogo Daniel Kahneman observa ironicamente, a mente descendente seria uma “personagem coadjuvante que se vê como a heroína”.	Cérebro de cima: personagem coadjuvante que se vê como heroína	Foco	Goleman, Daniel
Estudos do cérebro demonstram que um atleta campeão começar a pensar em técnica durante o desempenho é uma receita certa para o fracasso.	No treino, traga o foco para cada movimento, cada ativação de músculo, para criar novas conexões neurais, visualize a ativação dos músculos.No jogo, quem manda é o insconsciente, o sistema que já está instalado, visualize a conquista de um ponto a cada ponto.	Foco	Goleman, Daniel
Wegner descobriu que erros aumentam de acordo com o grau em que estamos distraídos, estressados ou de alguma outra forma sobrecarregados mentalmente. Nessas circunstâncias, um sistema de controle cognitivo que normalmente monitora erros que possamos cometer (como não falar sobre aquele assunto) pode inadvertidamente agir como um apogeu mental, aumentando a probabilidade exatamente desse erro (como falar sobre aquele assunto).	Mente sobrecarregado e cansada = mais erros.   Riscos que o empresário não pode sofrer deliberadamente	Foco	Goleman, Daniel
O envolvimento ativo da atenção significa uma atividade descendente, um antídoto para o risco de se atravessar o dia com um automatismo de zumbi. Podemos reagir a comerciais, ficar alertas ao que está acontecendo ao nosso redor, questionar rotinas automáticas ou melhorá-las.	Ao treinar o foco, você evita passar o dia no automático. A falta de atenção faz com que passemos o dia sem ver e deixar de aproveitar momentos. Mais atenção —> Mais presença	Foco	Goleman, Daniel
Isso nos leva de volta à pergunta: para onde a mente deriva? Com bastante frequência, para as nossas preocupações pessoais e nossas questões não resolvidas — coisas em que precisamos trabalhar. Embora a divagação da mente possa prejudicar nosso foco imediato em alguma tarefa específica, ela funciona a serviço de resolver problemas importantes para as nossas vidas. Uma mente à deriva permite que nossa essência criativa flua.	Temos o foco e a divagação. Tanto o foco quanto a divagação são importantes, o primeiro nos traz a concretização do que planejamos para o momento, e o segundo nos ajuda a acalmar e a resolver nossos problemas.   Caminhada no parque sem música —> divagação, resolução automática de problemas	Foco	Goleman, Daniel
Entre as outras funções positivas da divagação da mente, estão a geração de cenários para o futuro, a autorreflexão, a capacidade de se relacionar em um mundo social complexo, a incubação de ideias criativas, a flexibilidade do foco, a ponderação do que se está aprendendo, a organização das lembranças ou a mera meditação sobre a vida — e também a possibilidade de dar aos nossos circuitos de foco mais intensivo uma pausa revigorante.	Ótimo hábito para limpar a mente para trabalho focado. Produto de caminhadas no parque e manhãs calmas.	Foco	Goleman, Daniel
Cerca de 4% dos adultos parecem enfrentar o problema. Quando são desafiados com uma tarefa criativa, como encontrar novos usos para um tijolo, pessoas com TDAH se saem melhor, apesar de sua tendência à divagação mental — ou talvez por causa dela.	Divagação da mente = Maior estado de criatividade	Foco	Goleman, Daniel
Nossa mente tem infinitas ideias, lembranças e associações potenciais esperando para ser feitas. Mas a probabilidade de a ideia certa se ligar com a lembrança correta dentro do contexto adequado — e tudo isso ser capturado pelo holofote da atenção — diminui drasticamente quando estamos ou hiperfocados ou sobrecarregados demais por distrações para percebermos o insight.	Importância de caminhadas no parque	Foco	Goleman, Daniel
Para muitos de nós, é simplesmente um luxo conseguir durante o dia alguns momentos particulares sem interrupções em que possamos nos recostar e refletir. No entanto, esses são alguns dos momentos mais valiosos do dia, principalmente quando se trata de criatividade. Mas há algo mais exigido para essas associações frutificarem numa inovação viável: a atmosfera correta. Precisamos de tempo livre no qual possamos manter uma consciência aberta.	Tempo em paz é escasso no mundo atual	Foco	Goleman, Daniel
